shop_id,model_id,available_units
SHOP3035,MOD2098,
SHOP3044,MOD2117,
SHOP3066,MOD2154,5.0
SHOP3022,MOD2023,5.0
SHOP3030,MOD2045,
SHOP3058,MOD2129,
SHOP3071,MOD2004,
SHOP3013,MOD2073,
SHOP3041,MOD2130,27.0
SHOP3098,MOD2174,
SHOP3085,MOD2007,19.0
SHOP3074,MOD2030,
SHOP3074,MOD2129,
SHOP3036,MOD2088,30.0
SHOP3026,MOD2106,12.0
SHOP3082,MOD2138,
SHOP3063,MOD2173,
SHOP3069,MOD2118,
SHOP3014,MOD2114,
SHOP3097,MOD2133,
SHOP3080,MOD2143,
SHOP3026,MOD2153,
SHOP3077,MOD2036,13.0
SHOP3077,MOD2036,10.0
SHOP3061,MOD2191,
SHOP3039,MOD2136,
SHOP3083,MOD2036,
SHOP3017,MOD2199,
SHOP3080,MOD2086,
SHOP3033,MOD2127,
SHOP3068,MOD2199,
SHOP3004,MOD2001,
SHOP3073,MOD2102,8.0
SHOP3071,MOD2087,
SHOP3035,MOD2194,
SHOP3080,MOD2101,
SHOP3017,MOD2116,28.0
SHOP3013,MOD2187,
SHOP3057,MOD2024,
SHOP3063,MOD2106,7.0
SHOP3054,MOD2148,42.0
SHOP3044,MOD2053,25.0
SHOP3080,MOD2036,
SHOP3010,MOD2008,34.0
SHOP3021,MOD2069,
SHOP3069,MOD2135,24.0
SHOP3069,MOD2135,9.0
SHOP3073,MOD2196,
SHOP3090,MOD2120,10.0
SHOP3013,MOD2190,
SHOP3078,MOD2059,
SHOP3024,MOD2180,
SHOP3075,MOD2049,
SHOP3090,MOD2000,
SHOP3015,MOD2156,
SHOP3098,MOD2076,
SHOP3056,MOD2162,29.0
SHOP3019,MOD2052,30.0
SHOP3064,MOD2195,15.0
SHOP3036,MOD2167,
SHOP3005,MOD2148,
SHOP3053,MOD2076,
SHOP3057,MOD2178,15.0
SHOP3018,MOD2168,
SHOP3037,MOD2052,
SHOP3040,MOD2066,
SHOP3024,MOD2064,
SHOP3079,MOD2051,
SHOP3073,MOD2183,22.0
SHOP3057,MOD2169,19.0
SHOP3040,MOD2129,
SHOP3045,MOD2150,
SHOP3092,MOD2106,22.0
SHOP3064,MOD2035,19.0
SHOP3064,MOD2035,22.0
SHOP3059,MOD2185,
SHOP3033,MOD2159,
SHOP3053,MOD2108,14.0
SHOP3053,MOD2108,37.0
SHOP3090,MOD2188,
SHOP3011,MOD2192,29.0
SHOP3033,MOD2048,
SHOP3085,MOD2142,13.0
SHOP3021,MOD2072,
SHOP3063,MOD2046,
SHOP3025,MOD2010,
SHOP3012,MOD2182,
SHOP3058,MOD2017,
SHOP3009,MOD2152,
SHOP3095,MOD2102,0.0
SHOP3067,MOD2049,
SHOP3092,MOD2122,
SHOP3056,MOD2042,
SHOP3047,MOD2053,24.0
SHOP3095,MOD2062,
SHOP3052,MOD2047,23.0
SHOP3072,MOD2063,
SHOP3074,MOD2117,
SHOP3073,MOD2059,
SHOP3031,MOD2152,34.0
SHOP3031,MOD2152,14.0
SHOP3058,MOD2136,
SHOP3098,MOD2088,3.0
SHOP3012,MOD2068,
SHOP3070,MOD2148,
SHOP3019,MOD2019,
SHOP3022,MOD2001,
SHOP3019,MOD2045,
SHOP3040,MOD2133,
SHOP3018,MOD2165,19.0
SHOP3071,MOD2151,
SHOP3052,MOD2010,
SHOP3014,MOD2053,
SHOP3039,MOD2160,
SHOP3018,MOD2012,
SHOP3066,MOD2173,
SHOP3070,MOD2147,6.0
SHOP3015,MOD2002,
SHOP3084,MOD2027,15.0
SHOP3085,MOD2002,
SHOP3042,MOD2160,
SHOP3007,MOD2133,
SHOP3045,MOD2037,24.0
SHOP3017,MOD2187,
SHOP3049,MOD2180,
SHOP3053,MOD2078,38.0
SHOP3042,MOD2184,
SHOP3061,MOD2118,20.0
SHOP3018,MOD2072,29.0
SHOP3071,MOD2120,
SHOP3051,MOD2020,
SHOP3017,MOD2101,
SHOP3051,MOD2087,
SHOP3086,MOD2138,
SHOP3003,MOD2167,
SHOP3055,MOD2042,
SHOP3040,MOD2167,
SHOP3001,MOD2143,23.0
SHOP3019,MOD2002,
SHOP3021,MOD2029,
SHOP3041,MOD2116,
SHOP3034,MOD2041,
SHOP3048,MOD2069,16.0
SHOP3048,MOD2069,6.0
SHOP3035,MOD2171,
SHOP3045,MOD2111,11.0
SHOP3038,MOD2177,28.0
SHOP3096,MOD2137,10.0
SHOP3016,MOD2057,
SHOP3020,MOD2064,
SHOP3074,MOD2134,
SHOP3099,MOD2086,9.0
SHOP3061,MOD2082,
SHOP3000,MOD2140,
SHOP3018,MOD2088,
SHOP3042,MOD2091,
SHOP3011,MOD2058,
SHOP3092,MOD2061,
SHOP3023,MOD2082,
SHOP3044,MOD2146,
SHOP3072,MOD2008,
SHOP3081,MOD2101,
SHOP3015,MOD2194,
SHOP3025,MOD2186,
SHOP3047,MOD2042,4.0
SHOP3027,MOD2151,
SHOP3061,MOD2072,
SHOP3022,MOD2000,
SHOP3093,MOD2099,19.0
SHOP3031,MOD2010,
SHOP3055,MOD2156,
SHOP3054,MOD2011,
SHOP3003,MOD2145,
SHOP3015,MOD2069,21.0
SHOP3015,MOD2069,22.0
SHOP3039,MOD2030,
SHOP3088,MOD2077,33.0
SHOP3036,MOD2027,
SHOP3085,MOD2019,13.0
SHOP3004,MOD2075,
SHOP3042,MOD2188,
SHOP3079,MOD2104,
SHOP3007,MOD2105,
SHOP3092,MOD2043,
SHOP3015,MOD2112,
SHOP3052,MOD2185,
SHOP3073,MOD2188,
SHOP3053,MOD2033,
SHOP3020,MOD2089,
SHOP3097,MOD2092,10.0
SHOP3035,MOD2196,
SHOP3055,MOD2061,
SHOP3006,MOD2175,
SHOP3064,MOD2013,
SHOP3054,MOD2077,
SHOP3048,MOD2167,
SHOP3067,MOD2177,23.0
SHOP3003,MOD2094,
SHOP3016,MOD2005,7.0
SHOP3013,MOD2126,
SHOP3062,MOD2080,
SHOP3078,MOD2133,
SHOP3007,MOD2131,6.0
SHOP3006,MOD2100,31.0
SHOP3019,MOD2072,
SHOP3076,MOD2082,
SHOP3008,MOD2031,
SHOP3022,MOD2195,
SHOP3011,MOD2133,
SHOP3096,MOD2123,
SHOP3096,MOD2072,34.0
SHOP3036,MOD2159,
SHOP3032,MOD2117,27.0
SHOP3032,MOD2117,0.0
SHOP3084,MOD2128,4.0
SHOP3022,MOD2184,
SHOP3075,MOD2181,
SHOP3089,MOD2148,
SHOP3078,MOD2111,
SHOP3086,MOD2015,
SHOP3074,MOD2087,
SHOP3081,MOD2035,
SHOP3062,MOD2012,
SHOP3095,MOD2068,
SHOP3094,MOD2001,
SHOP3004,MOD2093,33.0
SHOP3009,MOD2008,19.0
SHOP3094,MOD2086,
SHOP3049,MOD2003,31.0
SHOP3037,MOD2035,
SHOP3092,MOD2090,
SHOP3039,MOD2102,
SHOP3043,MOD2013,
SHOP3036,MOD2101,
SHOP3007,MOD2021,5.0
SHOP3078,MOD2068,
SHOP3035,MOD2131,
SHOP3001,MOD2132,
SHOP3037,MOD2078,
SHOP3018,MOD2060,
SHOP3058,MOD2038,
SHOP3046,MOD2153,35.0
SHOP3036,MOD2028,
SHOP3073,MOD2089,9.0
SHOP3074,MOD2131,
SHOP3006,MOD2097,19.0
SHOP3076,MOD2175,4.0
SHOP3052,MOD2090,
SHOP3021,MOD2113,
SHOP3028,MOD2148,10.0
SHOP3014,MOD2057,
SHOP3004,MOD2022,
SHOP3046,MOD2185,
SHOP3015,MOD2067,25.0
SHOP3087,MOD2102,23.0
SHOP3001,MOD2108,
SHOP3023,MOD2004,
SHOP3085,MOD2168,
SHOP3095,MOD2110,
SHOP3020,MOD2189,13.0
SHOP3020,MOD2189,17.0
SHOP3050,MOD2009,
SHOP3066,MOD2167,
SHOP3085,MOD2064,
SHOP3042,MOD2177,
SHOP3054,MOD2151,17.0
SHOP3044,MOD2005,
SHOP3078,MOD2044,
SHOP3018,MOD2122,
SHOP3083,MOD2166,
SHOP3040,MOD2069,
SHOP3069,MOD2165,
SHOP3004,MOD2034,
SHOP3015,MOD2196,20.0
SHOP3007,MOD2027,
SHOP3097,MOD2176,
SHOP3011,MOD2046,14.0
SHOP3059,MOD2067,26.0
SHOP3084,MOD2178,
SHOP3032,MOD2041,
SHOP3014,MOD2187,
SHOP3006,MOD2163,
SHOP3067,MOD2146,20.0
SHOP3000,MOD2123,
SHOP3090,MOD2087,
SHOP3015,MOD2094,
SHOP3084,MOD2102,25.0
SHOP3058,MOD2181,9.0
SHOP3002,MOD2195,
SHOP3067,MOD2029,
SHOP3069,MOD2008,
SHOP3023,MOD2056,
SHOP3000,MOD2012,
SHOP3086,MOD2190,
SHOP3014,MOD2180,42.0
SHOP3004,MOD2165,
SHOP3041,MOD2062,
SHOP3067,MOD2045,
SHOP3028,MOD2063,
SHOP3057,MOD2127,3.0
SHOP3005,MOD2060,22.0
SHOP3024,MOD2161,
SHOP3086,MOD2126,
SHOP3048,MOD2006,38.0
SHOP3048,MOD2075,
SHOP3043,MOD2073,
SHOP3057,MOD2049,19.0
SHOP3009,MOD2138,
SHOP3023,MOD2028,10.0
SHOP3037,MOD2174,
SHOP3023,MOD2074,
SHOP3080,MOD2169,0.0
SHOP3069,MOD2106,
SHOP3001,MOD2095,42.0
SHOP3041,MOD2013,19.0
SHOP3038,MOD2020,
SHOP3005,MOD2121,
SHOP3018,MOD2001,18.0
SHOP3018,MOD2001,36.0
SHOP3056,MOD2154,
SHOP3061,MOD2181,
SHOP3003,MOD2079,8.0
SHOP3075,MOD2041,
SHOP3088,MOD2191,15.0
SHOP3074,MOD2088,
SHOP3062,MOD2099,
SHOP3083,MOD2106,28.0
SHOP3078,MOD2126,
SHOP3071,MOD2116,
SHOP3097,MOD2174,
SHOP3091,MOD2069,7.0
SHOP3097,MOD2006,31.0
SHOP3032,MOD2088,
SHOP3025,MOD2162,
SHOP3034,MOD2099,23.0
SHOP3014,MOD2146,
SHOP3095,MOD2064,34.0
SHOP3042,MOD2080,11.0
SHOP3042,MOD2080,24.0
SHOP3083,MOD2163,
SHOP3082,MOD2115,19.0
SHOP3070,MOD2005,
SHOP3006,MOD2072,
SHOP3098,MOD2108,31.0
SHOP3057,MOD2031,28.0
SHOP3081,MOD2056,
SHOP3046,MOD2143,
SHOP3011,MOD2194,
SHOP3016,MOD2107,31.0
SHOP3078,MOD2170,
SHOP3036,MOD2150,
SHOP3021,MOD2093,20.0
SHOP3021,MOD2043,
SHOP3057,MOD2142,
SHOP3031,MOD2056,0.0
SHOP3080,MOD2170,17.0
SHOP3083,MOD2033,24.0
SHOP3014,MOD2159,
SHOP3039,MOD2035,
SHOP3012,MOD2128,
SHOP3063,MOD2146,
SHOP3096,MOD2143,
SHOP3044,MOD2068,
SHOP3028,MOD2070,
SHOP3041,MOD2001,
SHOP3001,MOD2030,
SHOP3047,MOD2197,
SHOP3024,MOD2121,
SHOP3050,MOD2076,29.0
SHOP3047,MOD2115,14.0
SHOP3028,MOD2059,
SHOP3084,MOD2035,
SHOP3013,MOD2006,
SHOP3053,MOD2116,
SHOP3032,MOD2071,
SHOP3032,MOD2066,
SHOP3028,MOD2102,
SHOP3004,MOD2009,
SHOP3010,MOD2078,
SHOP3056,MOD2138,13.0
SHOP3019,MOD2162,
SHOP3032,MOD2119,11.0
SHOP3064,MOD2022,
SHOP3010,MOD2101,
SHOP3040,MOD2148,11.0
SHOP3050,MOD2142,14.0
SHOP3049,MOD2047,
SHOP3048,MOD2146,
SHOP3039,MOD2175,33.0
SHOP3086,MOD2111,
SHOP3019,MOD2130,16.0
SHOP3065,MOD2122,22.0
SHOP3021,MOD2065,
SHOP3012,MOD2110,13.0
SHOP3012,MOD2110,19.0
SHOP3026,MOD2087,18.0
SHOP3049,MOD2011,34.0
SHOP3091,MOD2101,
SHOP3060,MOD2017,
SHOP3038,MOD2117,
SHOP3074,MOD2025,
SHOP3062,MOD2194,
SHOP3013,MOD2113,36.0
SHOP3013,MOD2113,15.0
SHOP3035,MOD2059,
SHOP3050,MOD2081,
SHOP3096,MOD2193,
SHOP3008,MOD2174,
SHOP3089,MOD2114,
SHOP3037,MOD2136,
SHOP3050,MOD2091,
SHOP3047,MOD2165,
SHOP3024,MOD2019,23.0
SHOP3044,MOD2179,20.0
SHOP3044,MOD2179,26.0
SHOP3040,MOD2177,
SHOP3087,MOD2162,
SHOP3012,MOD2097,
SHOP3049,MOD2124,
SHOP3021,MOD2077,
SHOP3030,MOD2148,
SHOP3056,MOD2009,
SHOP3010,MOD2127,17.0
SHOP3068,MOD2083,
SHOP3072,MOD2124,
SHOP3026,MOD2037,17.0
SHOP3015,MOD2103,
SHOP3076,MOD2007,
SHOP3099,MOD2140,22.0
SHOP3099,MOD2140,24.0
SHOP3097,MOD2083,
SHOP3013,MOD2178,19.0
SHOP3002,MOD2074,
SHOP3038,MOD2087,
SHOP3070,MOD2149,22.0
SHOP3054,MOD2196,21.0
SHOP3054,MOD2196,5.0
SHOP3035,MOD2062,14.0
SHOP3035,MOD2062,19.0
SHOP3075,MOD2137,
SHOP3016,MOD2034,
SHOP3076,MOD2183,
SHOP3011,MOD2034,
SHOP3069,MOD2188,23.0
SHOP3050,MOD2109,
SHOP3006,MOD2183,
SHOP3000,MOD2082,16.0
SHOP3000,MOD2082,27.0
SHOP3032,MOD2136,
SHOP3031,MOD2120,19.0
SHOP3052,MOD2121,
SHOP3032,MOD2005,
SHOP3011,MOD2114,
SHOP3092,MOD2030,
SHOP3002,MOD2177,
SHOP3046,MOD2040,
SHOP3044,MOD2139,
SHOP3021,MOD2046,
SHOP3040,MOD2077,
SHOP3028,MOD2022,
SHOP3042,MOD2165,
SHOP3037,MOD2161,
SHOP3079,MOD2180,
SHOP3025,MOD2096,
SHOP3078,MOD2106,
SHOP3012,MOD2180,
SHOP3094,MOD2083,
SHOP3087,MOD2096,
SHOP3091,MOD2028,26.0
SHOP3075,MOD2188,
SHOP3014,MOD2169,8.0
SHOP3029,MOD2196,
SHOP3022,MOD2003,
SHOP3080,MOD2171,
SHOP3061,MOD2039,
SHOP3018,MOD2035,
SHOP3038,MOD2035,
SHOP3012,MOD2081,10.0
SHOP3085,MOD2160,
SHOP3049,MOD2100,
SHOP3037,MOD2099,4.0
SHOP3096,MOD2157,23.0
SHOP3006,MOD2060,
SHOP3096,MOD2053,
SHOP3045,MOD2177,11.0
SHOP3055,MOD2009,
SHOP3007,MOD2190,30.0
SHOP3045,MOD2093,
SHOP3073,MOD2067,
SHOP3020,MOD2015,
SHOP3070,MOD2145,
SHOP3036,MOD2065,
SHOP3022,MOD2177,
SHOP3025,MOD2125,7.0
SHOP3025,MOD2125,28.0
SHOP3015,MOD2198,
SHOP3086,MOD2117,
SHOP3074,MOD2096,
SHOP3006,MOD2192,
SHOP3067,MOD2118,18.0
SHOP3021,MOD2197,
SHOP3021,MOD2116,
SHOP3078,MOD2088,
SHOP3029,MOD2155,
SHOP3036,MOD2079,
SHOP3069,MOD2089,3.0
SHOP3016,MOD2175,
SHOP3075,MOD2199,
SHOP3066,MOD2093,32.0
SHOP3071,MOD2134,
SHOP3027,MOD2144,
SHOP3019,MOD2088,
SHOP3054,MOD2157,19.0
SHOP3060,MOD2075,
SHOP3099,MOD2021,
SHOP3090,MOD2181,
SHOP3052,MOD2153,
SHOP3017,MOD2189,22.0
SHOP3017,MOD2189,45.0
SHOP3064,MOD2147,31.0
SHOP3029,MOD2042,
SHOP3059,MOD2031,7.0
SHOP3032,MOD2057,40.0
SHOP3018,MOD2008,
SHOP3026,MOD2184,
SHOP3058,MOD2058,28.0
SHOP3058,MOD2058,26.0
SHOP3010,MOD2091,
SHOP3043,MOD2021,
SHOP3077,MOD2011,23.0
SHOP3002,MOD2175,36.0
SHOP3096,MOD2021,7.0
SHOP3031,MOD2121,28.0
SHOP3031,MOD2121,29.0
SHOP3030,MOD2188,
SHOP3094,MOD2075,
SHOP3050,MOD2134,7.0
SHOP3064,MOD2046,13.0
SHOP3068,MOD2196,7.0
SHOP3068,MOD2157,
SHOP3033,MOD2064,
SHOP3012,MOD2051,
SHOP3004,MOD2141,
SHOP3066,MOD2198,
SHOP3080,MOD2192,
SHOP3088,MOD2093,
SHOP3021,MOD2052,
SHOP3064,MOD2196,
SHOP3065,MOD2165,19.0
SHOP3091,MOD2023,19.0
SHOP3004,MOD2197,
SHOP3047,MOD2132,
SHOP3099,MOD2105,15.0
SHOP3020,MOD2075,
SHOP3036,MOD2187,
SHOP3012,MOD2152,
SHOP3083,MOD2091,
SHOP3045,MOD2057,
SHOP3000,MOD2185,12.0
SHOP3005,MOD2111,
SHOP3038,MOD2002,5.0
SHOP3067,MOD2051,19.0
SHOP3034,MOD2063,
SHOP3024,MOD2026,
SHOP3048,MOD2197,
SHOP3050,MOD2193,
SHOP3067,MOD2022,22.0
SHOP3067,MOD2022,42.0
SHOP3048,MOD2122,42.0
SHOP3048,MOD2122,14.0
SHOP3069,MOD2177,
SHOP3061,MOD2180,
SHOP3040,MOD2179,28.0
SHOP3040,MOD2179,24.0
SHOP3037,MOD2117,
SHOP3031,MOD2004,
SHOP3020,MOD2042,
SHOP3041,MOD2115,
SHOP3044,MOD2178,
SHOP3078,MOD2187,
SHOP3052,MOD2101,16.0
SHOP3052,MOD2101,34.0
SHOP3012,MOD2095,24.0
SHOP3061,MOD2198,
SHOP3009,MOD2166,
SHOP3042,MOD2086,
SHOP3020,MOD2068,
SHOP3042,MOD2149,
SHOP3081,MOD2051,21.0
SHOP3043,MOD2066,
SHOP3003,MOD2086,20.0
SHOP3004,MOD2006,22.0
SHOP3079,MOD2064,
SHOP3083,MOD2113,28.0
SHOP3079,MOD2005,8.0
SHOP3003,MOD2095,
SHOP3059,MOD2178,
SHOP3061,MOD2081,
SHOP3023,MOD2132,
SHOP3032,MOD2114,28.0
SHOP3032,MOD2114,22.0
SHOP3035,MOD2086,
SHOP3011,MOD2102,
SHOP3065,MOD2166,
SHOP3044,MOD2135,
SHOP3054,MOD2159,
SHOP3057,MOD2146,
SHOP3062,MOD2116,
SHOP3041,MOD2142,
SHOP3024,MOD2156,17.0
SHOP3073,MOD2012,13.0
SHOP3068,MOD2105,25.0
SHOP3005,MOD2001,
SHOP3016,MOD2102,14.0
SHOP3016,MOD2102,24.0
SHOP3096,MOD2022,
SHOP3061,MOD2116,
SHOP3060,MOD2096,
SHOP3069,MOD2175,
SHOP3073,MOD2147,41.0
SHOP3095,MOD2113,
SHOP3093,MOD2075,
SHOP3066,MOD2053,
SHOP3045,MOD2002,
SHOP3083,MOD2149,18.0
SHOP3067,MOD2088,19.0
SHOP3010,MOD2065,
SHOP3067,MOD2172,
SHOP3049,MOD2067,
SHOP3037,MOD2115,26.0
SHOP3037,MOD2115,16.0
SHOP3017,MOD2197,2.0
SHOP3079,MOD2061,
SHOP3038,MOD2067,
SHOP3055,MOD2129,
SHOP3006,MOD2084,
SHOP3021,MOD2134,
SHOP3058,MOD2132,
SHOP3020,MOD2179,
SHOP3077,MOD2014,33.0
SHOP3082,MOD2009,
SHOP3053,MOD2070,
SHOP3058,MOD2140,
SHOP3016,MOD2129,20.0
SHOP3066,MOD2009,11.0
SHOP3047,MOD2038,
SHOP3015,MOD2064,
SHOP3048,MOD2178,19.0
SHOP3002,MOD2052,
SHOP3077,MOD2092,
SHOP3049,MOD2042,
SHOP3039,MOD2197,10.0
SHOP3039,MOD2197,19.0
SHOP3067,MOD2137,
SHOP3064,MOD2138,
SHOP3066,MOD2085,
SHOP3024,MOD2052,17.0
SHOP3014,MOD2152,
SHOP3026,MOD2109,
SHOP3014,MOD2147,
SHOP3020,MOD2159,27.0
SHOP3087,MOD2113,
SHOP3013,MOD2136,
SHOP3001,MOD2115,14.0
SHOP3001,MOD2115,32.0
SHOP3001,MOD2115,17.0
SHOP3078,MOD2082,
SHOP3025,MOD2197,0.0
SHOP3025,MOD2197,21.0
SHOP3062,MOD2108,19.0
SHOP3011,MOD2152,
SHOP3032,MOD2024,
SHOP3013,MOD2192,
SHOP3005,MOD2076,20.0
SHOP3005,MOD2076,23.0
SHOP3095,MOD2148,
SHOP3027,MOD2114,9.0
SHOP3027,MOD2114,22.0
SHOP3011,MOD2063,
SHOP3015,MOD2032,2.0
SHOP3015,MOD2032,17.0
SHOP3004,MOD2147,
SHOP3032,MOD2030,
SHOP3013,MOD2165,10.0
SHOP3039,MOD2077,
SHOP3038,MOD2120,4.0
SHOP3038,MOD2120,16.0
SHOP3003,MOD2076,
SHOP3099,MOD2185,17.0
SHOP3076,MOD2055,17.0
SHOP3076,MOD2055,28.0
SHOP3061,MOD2029,
SHOP3047,MOD2123,
SHOP3036,MOD2019,37.0
SHOP3045,MOD2043,34.0
SHOP3046,MOD2110,29.0
SHOP3014,MOD2188,38.0
SHOP3009,MOD2103,
SHOP3069,MOD2004,24.0
SHOP3053,MOD2161,10.0
SHOP3057,MOD2165,14.0
SHOP3005,MOD2058,27.0
SHOP3036,MOD2069,
SHOP3081,MOD2151,
SHOP3051,MOD2012,15.0
SHOP3064,MOD2101,
SHOP3048,MOD2144,
SHOP3064,MOD2169,26.0
SHOP3095,MOD2008,
SHOP3041,MOD2180,
SHOP3050,MOD2196,
SHOP3096,MOD2102,
SHOP3056,MOD2181,
SHOP3063,MOD2064,
SHOP3040,MOD2101,
SHOP3009,MOD2007,
SHOP3059,MOD2048,
SHOP3062,MOD2125,
SHOP3077,MOD2142,
SHOP3029,MOD2068,
SHOP3049,MOD2051,
SHOP3038,MOD2171,19.0
SHOP3000,MOD2176,20.0
SHOP3086,MOD2144,
SHOP3040,MOD2078,
SHOP3092,MOD2139,23.0
SHOP3049,MOD2177,
SHOP3037,MOD2195,
SHOP3069,MOD2103,
SHOP3028,MOD2175,19.0
SHOP3091,MOD2007,29.0
SHOP3089,MOD2032,
SHOP3086,MOD2003,23.0
SHOP3086,MOD2003,10.0
SHOP3010,MOD2060,31.0
SHOP3004,MOD2185,
SHOP3009,MOD2005,23.0
SHOP3069,MOD2000,
SHOP3084,MOD2117,
SHOP3004,MOD2199,
SHOP3010,MOD2096,
SHOP3074,MOD2095,17.0
SHOP3005,MOD2164,21.0
SHOP3048,MOD2176,
SHOP3004,MOD2178,
SHOP3021,MOD2034,12.0
SHOP3072,MOD2170,
SHOP3017,MOD2141,
SHOP3034,MOD2069,
SHOP3054,MOD2086,
SHOP3022,MOD2040,
SHOP3081,MOD2192,27.0
SHOP3058,MOD2079,16.0
SHOP3019,MOD2038,
SHOP3064,MOD2180,19.0
SHOP3006,MOD2088,6.0
SHOP3053,MOD2022,
SHOP3075,MOD2076,
SHOP3033,MOD2098,8.0
SHOP3033,MOD2098,31.0
SHOP3061,MOD2190,21.0
SHOP3011,MOD2082,24.0
SHOP3030,MOD2041,1.0
SHOP3005,MOD2104,26.0
SHOP3083,MOD2180,17.0
SHOP3083,MOD2180,6.0
SHOP3083,MOD2180,13.0
SHOP3023,MOD2037,
SHOP3013,MOD2110,
SHOP3033,MOD2195,
