final_price,revenue,discount,brand,ram_gb,storage_gb,rating,city
13056.73,13056.73,28.24,Xiaomi,6,64,3.5,Kolkatta
45992.29,91984.58,3.41,realme,6,128,3.7,Bangalore
32928.21,65856.42,22.74,Motorola,12,256,5.0,Pune
22182.36,22182.36,7.0,Apple,12,128,3.4,Suratt
22800.94,22800.94,7.49,Apple,4,64,3.6,Mumbai
13704.27,13704.27,21.47,realme,12,64,3.6,Pune
38413.24,38413.24,3.89,OPPO,6,256,4.7,Bangalore
15265.83,15265.83,7.08,realme,6,256,3.5,Jaipur
26845.92,26845.92,1.12,Samsung,12,512,3.5,Hydrabad
39181.76,78363.52,17.63,Samsung,12,64,4.1,Ahmedbad
14712.7,14712.7,0.61,Motorola,12,64,3.5,Ahmedbad
46730.58,93461.16,13.94,Samsung,12,512,4.9,Mumbai
20950.5,20950.5,19.94,vivo,6,512,3.1,Kolkatta
7832.52,7832.52,18.96,OPPO,4,512,4.7,Jaipur
37432.62,37432.62,14.8,Motorola,6,128,4.2,Chennai
25694.85,25694.85,1.81,vivo,6,512,4.8,Mumbai
10467.49,10467.49,26.58,OPPO,6,128,3.5,Mumbai
33450.35,33450.35,12.66,Apple,6,128,3.3,Mumbai
55309.24,110618.48,2.0,realme,8,64,4.1,Chennai
25028.63,25028.63,7.37,OnePlus,6,512,3.9,Mumbai
23078.0,23078.0,16.08,vivo,4,256,4.7,Hydrabad
18358.6,18358.6,27.05,realme,12,256,3.1,Bangalore
23216.99,23216.99,14.3,Xiaomi,8,64,4.1,Mumbai
51924.83,103849.66,21.63,OPPO,12,64,4.3,Hydrabad
15043.63,15043.63,17.32,Xiaomi,6,64,5.0,Hydrabad
32581.31,32581.31,6.74,Apple,4,128,3.5,Delhi
34363.15,34363.15,11.74,realme,4,128,4.2,Suratt
20449.38,20449.38,24.68,Samsung,12,512,4.7,Bangalore
17513.52,17513.52,16.97,Apple,6,128,4.2,Bangalore
31053.86,62107.72,14.72,OnePlus,4,64,4.7,Delhi
16270.8,16270.8,3.15,Samsung,12,128,3.4,Kolkatta
23302.4,23302.4,12.0,realme,6,512,3.3,Kolkatta
16236.5,16236.5,8.64,vivo,4,128,3.8,Chennai
18365.85,18365.85,11.46,Motorola,6,128,4.1,Suratt
21695.61,21695.61,13.79,Apple,12,256,3.5,Kolkatta
25266.96,25266.96,0.91,OPPO,12,64,4.2,Ahmedbad
37551.7,37551.7,11.96,Motorola,4,128,4.8,Ahmedbad
32843.52,32843.52,12.62,OPPO,12,128,3.8,Chennai
25291.31,25291.31,20.4,OnePlus,12,512,3.5,Suratt
26464.09,26464.09,4.99,OnePlus,6,128,4.0,Kolkatta
13936.44,13936.44,16.0,realme,8,64,4.6,Pune
11416.28,11416.28,29.72,Samsung,8,128,3.8,Jaipur
27630.04,27630.04,28.31,Apple,6,512,5.0,Kolkatta
26886.99,26886.99,13.58,Xiaomi,12,128,3.3,Chennai
33056.44,33056.44,5.38,Apple,4,128,4.6,Mumbai
25854.08,25854.08,7.18,OnePlus,6,128,3.6,Kolkatta
45476.86,45476.86,0.66,realme,4,256,4.3,Bangalore
24650.4,24650.4,12.01,OPPO,4,512,3.9,Pune
26747.37,53494.74,17.67,Samsung,8,128,4.1,Ahmedbad
14317.97,14317.97,29.14,OPPO,6,512,3.0,Kolkatta
24878.48,24878.48,19.56,Xiaomi,8,128,4.2,Kolkatta
9689.52,9689.52,15.67,realme,12,512,4.4,Delhi
60110.54,120221.08,4.31,OPPO,8,64,3.3,Bangalore
28695.3,57390.6,10.17,OPPO,8,256,4.3,Mumbai
29083.09,58166.18,18.26,Motorola,8,128,3.0,Ahmedbad
5768.38,5768.38,23.9,realme,8,64,4.7,Pune
34210.24,68420.48,5.99,Xiaomi,6,64,3.8,Suratt
30295.75,60591.5,9.06,Motorola,6,256,5.0,Chennai
9839.03,9839.03,29.54,OPPO,8,256,3.5,Kolkatta
61925.14,123850.28,2.52,Xiaomi,4,512,4.1,Bangalore
17618.19,17618.19,20.81,realme,12,64,4.2,Hydrabad
24511.78,24511.78,1.48,OnePlus,8,64,3.6,Chennai
9017.55,9017.55,25.94,OPPO,4,64,3.8,Pune
34049.41,34049.41,2.14,Apple,8,128,4.8,Bangalore
7299.48,7299.48,8.39,Motorola,12,512,4.2,Pune
37984.04,75968.08,2.62,Samsung,6,512,3.6,Suratt
19378.68,19378.68,10.52,Samsung,4,512,4.7,Delhi
40538.03,81076.06,15.5,Apple,6,512,5.0,Suratt
39765.71,79531.42,20.88,vivo,4,512,3.3,Jaipur
29893.37,29893.37,5.58,OPPO,12,128,3.3,Pune
19136.98,19136.98,29.18,realme,12,128,5.0,Kolkatta
33195.2,33195.2,8.26,Motorola,6,128,3.5,Pune
30064.72,30064.72,21.5,Apple,6,128,3.3,Hydrabad
34702.48,34702.48,18.64,Motorola,4,128,3.2,Mumbai
5422.11,5422.11,26.34,realme,12,512,3.8,Mumbai
48939.53,97879.06,14.87,vivo,6,128,4.6,Ahmedbad
28780.01,28780.01,26.08,realme,4,128,4.8,Ahmedbad
19718.14,19718.14,1.36,vivo,6,256,3.3,Chennai
32819.8,32819.8,15.55,Motorola,4,128,4.2,Kolkatta
31266.88,31266.88,0.5,realme,12,256,4.6,Ahmedbad
77596.32,155192.64,6.06,realme,12,128,3.6,Delhi
41891.32,83782.64,16.77,Apple,12,256,3.3,Pune
26360.04,26360.04,27.15,Motorola,6,128,3.5,Ahmedbad
10529.37,10529.37,28.87,Motorola,12,64,5.0,Chennai
9778.3,9778.3,8.81,Samsung,6,256,4.0,Hydrabad
48642.9,97285.8,7.73,OnePlus,12,64,3.3,Kolkatta
30698.26,30698.26,12.13,Apple,4,128,3.3,Ahmedbad
20444.44,20444.44,29.92,Xiaomi,4,128,3.8,Bangalore
22617.3,45234.6,20.68,OPPO,6,128,4.5,Hydrabad
47651.4,95302.8,10.0,OnePlus,8,256,3.8,Jaipur
12388.46,12388.46,29.01,realme,12,64,3.0,Delhi
31833.75,31833.75,14.43,OnePlus,4,128,3.9,Bangalore
19203.2,19203.2,19.26,Apple,4,64,4.1,Hydrabad
23569.43,23569.43,6.21,vivo,4,512,4.2,Chennai
30827.94,30827.94,20.82,realme,4,128,3.6,Chennai
35622.11,35622.11,13.75,realme,12,128,3.6,Hydrabad
62192.7,124385.4,14.5,realme,4,256,3.5,Bangalore
22490.89,22490.89,28.48,vivo,8,128,3.9,Mumbai
16666.55,16666.55,21.79,Motorola,12,256,4.0,Mumbai
20722.86,20722.86,21.54,Motorola,6,256,3.3,Jaipur
18809.2,18809.2,20.76,OnePlus,4,256,3.5,Pune
59874.24,119748.48,20.24,Xiaomi,8,256,4.3,Chennai
21194.77,21194.77,10.71,OnePlus,4,256,3.6,Kolkatta
53056.56,106113.12,27.06,realme,4,256,4.6,Ahmedbad
12288.99,12288.99,29.58,realme,12,64,3.4,Chennai
23424.23,23424.23,11.59,Samsung,6,512,4.7,Delhi
23674.82,23674.82,12.61,Xiaomi,8,64,3.1,Suratt
21776.15,21776.15,14.6,OPPO,12,64,3.8,Suratt
22679.31,22679.31,12.56,Motorola,12,128,3.6,Bangalore
13581.25,13581.25,19.14,vivo,6,64,4.6,Ahmedbad
20610.51,20610.51,13.59,Apple,12,128,4.1,Delhi
17639.63,17639.63,18.55,Samsung,4,512,3.9,Chennai
16254.27,16254.27,8.54,vivo,4,128,4.1,Jaipur
28283.58,28283.58,1.21,realme,12,256,4.7,Kolkatta
26754.75,26754.75,2.71,vivo,4,256,3.1,Suratt
20515.21,20515.21,27.3,realme,8,64,4.7,Suratt
21186.74,21186.74,11.01,realme,6,128,3.9,Delhi
25262.94,25262.94,18.8,Xiaomi,12,128,4.7,Hydrabad
28169.12,28169.12,2.0,vivo,6,128,4.0,Chennai
52243.27,104486.54,16.04,Xiaomi,12,128,3.0,Delhi
30199.82,30199.82,24.44,OPPO,6,256,4.1,Chennai
20128.98,20128.98,15.2,OnePlus,4,256,3.8,Ahmedbad
35840.64,71681.28,3.83,Samsung,4,512,4.7,Hydrabad
18859.4,18859.4,25.06,realme,12,256,3.3,Mumbai
35617.11,71234.22,27.05,Apple,4,64,4.3,Mumbai
17748.18,17748.18,2.52,OnePlus,4,64,4.2,Mumbai
39658.96,79317.92,23.21,OnePlus,12,128,3.9,Hydrabad
19206.13,19206.13,14.84,realme,4,64,4.7,Mumbai
22312.81,22312.81,24.33,Apple,8,256,5.0,Pune
22508.05,22508.05,5.48,Motorola,4,256,3.3,Jaipur
13611.98,13611.98,20.69,Samsung,8,64,3.3,Delhi
28682.63,28682.63,7.26,Xiaomi,8,128,3.9,Suratt
25479.54,50959.08,14.67,Samsung,8,64,3.6,Suratt
8920.8,8920.8,7.7,OPPO,4,512,4.4,Suratt
24270.93,24270.93,1.04,OPPO,4,128,4.1,Jaipur
25485.33,25485.33,15.84,realme,6,512,4.1,Mumbai
8879.72,8879.72,17.19,Samsung,6,256,3.9,Delhi
21333.6,21333.6,14.45,vivo,4,64,4.6,Mumbai
11680.04,11680.04,28.51,Samsung,4,128,4.8,Delhi
22710.54,22710.54,28.5,Xiaomi,4,512,3.8,Suratt
20886.34,20886.34,14.84,OPPO,4,128,3.2,Mumbai
18486.47,18486.47,8.51,Motorola,6,64,4.2,Bangalore
19156.66,19156.66,9.18,Apple,6,128,4.6,Jaipur
41932.0,83864.0,23.76,vivo,4,256,3.1,Mumbai
22026.7,22026.7,18.48,OnePlus,6,512,3.5,Kolkatta
20944.3,20944.3,22.03,Motorola,12,64,3.3,Ahmedbad
27801.2,27801.2,3.28,vivo,6,128,4.8,Chennai
21220.08,21220.08,10.78,Apple,4,64,3.7,Chennai
41962.6,83925.2,3.12,Samsung,4,512,4.1,Pune
66536.51,133073.02,11.49,OPPO,12,128,4.5,Chennai
30492.95,30492.95,5.79,vivo,12,64,3.1,Kolkatta
18817.34,18817.34,25.12,vivo,4,512,3.5,Mumbai
22981.41,22981.41,27.67,OnePlus,12,512,4.0,Ahmedbad
7188.4,7188.4,21.95,Motorola,8,256,3.5,Kolkatta
12862.9,12862.9,1.29,OPPO,4,64,4.7,Suratt
13522.34,13522.34,25.73,OnePlus,4,64,3.5,Suratt
37760.84,75521.68,28.78,Apple,12,512,3.5,Delhi
24657.93,24657.93,2.48,Samsung,6,64,4.0,Chennai
35030.48,35030.48,6.67,Xiaomi,8,256,3.3,Chennai
26958.77,26958.77,7.59,Xiaomi,4,128,3.6,Ahmedbad
11379.62,11379.62,22.18,Samsung,4,512,3.5,Kolkatta
25807.41,25807.41,2.54,realme,6,512,3.3,Suratt
9861.34,9861.34,19.01,OPPO,4,64,4.6,Kolkatta
17197.13,17197.13,20.94,Motorola,8,128,4.4,Suratt
62208.43,124416.86,22.78,Apple,12,64,3.4,Ahmedbad
24217.33,24217.33,10.68,Xiaomi,6,128,3.8,Bangalore
49887.95,99775.9,23.15,Samsung,12,256,3.5,Jaipur
26517.64,53035.28,5.05,OPPO,8,256,4.2,Chennai
11632.95,11632.95,4.46,OPPO,4,64,3.3,Hydrabad
19647.03,19647.03,8.17,Xiaomi,4,256,3.6,Bangalore
20063.3,20063.3,29.14,OnePlus,6,512,3.9,Bangalore
6689.79,6689.79,12.38,vivo,8,64,3.6,Bangalore
19905.02,19905.02,24.83,realme,6,512,3.9,Mumbai
29571.35,29571.35,6.9,Xiaomi,4,512,4.0,Pune
27532.61,27532.61,10.25,Xiaomi,12,512,3.3,Jaipur
28044.17,28044.17,15.1,Xiaomi,4,128,5.0,Delhi
24235.67,24235.67,4.15,Samsung,6,64,3.5,Hydrabad
50886.79,101773.58,18.22,Xiaomi,12,128,4.2,Kolkatta
29192.13,29192.13,1.0,Apple,8,256,3.2,Pune
21821.75,21821.75,22.67,realme,8,64,4.1,Kolkatta
49022.2,98044.4,18.22,OPPO,8,256,4.7,Delhi
23908.64,23908.64,12.22,Motorola,4,128,3.3,Pune
24500.91,24500.91,9.02,Apple,8,128,4.1,Bangalore
17121.94,34243.88,20.17,Xiaomi,4,128,3.7,Hydrabad
14358.68,14358.68,17.72,realme,12,64,3.5,Jaipur
21943.94,21943.94,20.78,OnePlus,12,128,3.4,Hydrabad
33923.54,33923.54,16.85,realme,8,512,3.3,Delhi
20626.13,20626.13,4.76,Samsung,4,512,3.8,Chennai
36852.77,73705.54,24.87,OPPO,4,128,4.9,Mumbai
65141.61,130283.22,24.81,OnePlus,12,512,3.6,Suratt
29086.89,29086.89,24.53,Apple,6,512,4.5,Bangalore
14400.57,14400.57,17.48,realme,12,64,4.8,Delhi
18445.44,18445.44,28.13,OnePlus,4,256,3.3,Ahmedbad
16846.98,16846.98,22.21,Samsung,4,512,3.3,Chennai
21974.35,21974.35,1.23,realme,12,64,3.3,Pune
41197.75,41197.75,0.25,realme,12,128,5.0,Hydrabad
31739.36,31739.36,21.41,vivo,4,64,4.3,Hydrabad
16115.76,16115.76,4.05,vivo,6,64,4.5,Kolkatta
70487.23,140974.46,10.39,Motorola,4,256,4.8,Chennai
68460.59,136921.18,2.02,Apple,4,128,3.1,Chennai
16567.43,16567.43,26.54,realme,4,64,3.5,Chennai
44845.48,89690.96,11.32,OPPO,6,64,3.9,Mumbai
21294.06,21294.06,24.54,realme,8,64,3.6,Ahmedbad
15501.0,15501.0,6.94,Motorola,6,256,3.1,Hydrabad
22487.75,22487.75,28.49,vivo,8,128,3.7,Kolkatta
19286.88,19286.88,26.83,OnePlus,12,64,3.3,Hydrabad
11501.12,11501.12,19.33,OPPO,6,128,3.1,Pune
18193.42,18193.42,24.59,OnePlus,6,128,3.5,Chennai
19207.29,19207.29,8.94,Apple,6,128,3.5,Mumbai
6953.97,6953.97,28.05,OPPO,4,512,3.1,Ahmedbad
19224.18,19224.18,14.76,Xiaomi,4,64,3.8,Bangalore
13871.95,13871.95,16.72,Motorola,6,256,4.1,Pune
44807.72,89615.44,6.6,Apple,8,512,3.8,Kolkatta
31700.08,31700.08,17.23,Apple,6,128,3.5,Kolkatta
24698.03,24698.03,25.23,Xiaomi,4,128,4.9,Mumbai
26457.75,26457.75,3.79,vivo,4,256,3.3,Jaipur
48413.06,96826.12,17.35,Samsung,4,256,3.4,Delhi
19679.63,19679.63,25.34,OnePlus,12,64,3.5,Ahmedbad
54984.5,109969.0,0.75,OnePlus,12,128,3.9,Suratt
48182.12,96364.24,12.07,OnePlus,4,128,4.1,Chennai
25563.51,25563.51,1.44,Motorola,12,128,4.1,Bangalore
8468.6,8468.6,22.47,Samsung,4,128,3.9,Ahmedbad
26909.16,26909.16,13.35,OPPO,4,64,5.0,Bangalore
30597.37,61194.74,6.88,realme,6,256,3.3,Delhi
17648.25,17648.25,14.02,Samsung,8,512,3.3,Ahmedbad
50557.48,101114.96,10.72,OnePlus,6,512,3.3,Jaipur
27245.72,27245.72,1.64,OnePlus,12,128,3.6,Ahmedbad
17349.01,17349.01,15.01,realme,8,128,3.3,Mumbai
22059.83,22059.83,28.09,Xiaomi,12,512,4.9,Ahmedbad
21729.82,21729.82,9.41,Apple,8,512,4.2,Pune
13875.47,13875.47,18.37,Xiaomi,6,128,4.7,Jaipur
50021.36,100042.72,28.41,Apple,4,128,4.7,Jaipur
26935.61,53871.22,21.53,Samsung,8,64,3.6,Bangalore
45185.09,90370.18,17.44,Motorola,8,64,3.5,Kolkatta
11053.9,11053.9,20.84,OPPO,8,256,3.3,Ahmedbad
17773.37,17773.37,4.94,realme,6,128,3.5,Pune
35081.88,35081.88,8.4,Apple,6,128,3.6,Chennai
32829.15,32829.15,15.68,realme,4,128,3.6,Hydrabad
22854.77,22854.77,8.14,OnePlus,8,64,4.1,Delhi
20887.92,20887.92,17.21,OPPO,12,256,3.2,Mumbai
48880.57,97761.14,12.76,OPPO,4,512,3.6,Delhi
23741.36,23741.36,3.51,Samsung,4,512,3.3,Jaipur
63134.47,126268.94,11.43,Xiaomi,4,64,3.9,Ahmedbad
24455.87,24455.87,2.2,OPPO,12,256,3.2,Hydrabad
23887.79,23887.79,23.22,Xiaomi,12,128,4.0,Jaipur
61101.36,122202.72,1.22,Xiaomi,8,128,3.6,Mumbai
49585.34,99170.68,15.92,Apple,8,256,4.6,Jaipur
21388.95,21388.95,10.07,Apple,4,64,3.5,Kolkatta
25834.29,25834.29,5.15,Motorola,4,128,4.2,Jaipur
30757.17,30757.17,7.33,vivo,8,64,3.5,Hydrabad
10701.42,21402.84,27.31,realme,12,512,3.9,Suratt
12624.06,12624.06,3.53,Xiaomi,8,64,4.9,Bangalore
14283.39,14283.39,21.55,OnePlus,4,64,3.0,Suratt
35144.73,35144.73,5.53,OnePlus,4,128,3.4,Mumbai
22534.54,22534.54,1.54,Samsung,12,64,3.5,Kolkatta
20958.92,20958.92,20.85,realme,6,512,3.5,Hydrabad
36745.79,36745.79,2.1,Xiaomi,8,256,3.4,Ahmedbad
23029.83,23029.83,19.08,realme,8,128,3.6,Pune
22989.14,22989.14,4.16,Apple,6,512,4.8,Bangalore
18252.01,18252.01,2.38,realme,6,128,3.5,Ahmedbad
38371.96,38371.96,16.18,realme,4,256,4.3,Mumbai
19834.75,19834.75,18.75,Apple,4,64,5.0,Pune
