stock_id,shop_id,model_id,available_units,last_updated
STK5088,SHOP3082,MOD2110,32.0,2024-02-06
STK5089,SHOP3084,MOD2026,18.0,2019-09-22
STK5090,SHOP3028,MOD2037,31.0,2024-05-07
STK5091,SHOP3055,MOD2034,21.0,2025-08-13
STK5092,SHOP3043,MOD2164,9.0,2021-01-04
STK5093,SHOP3064,MOD2059,28.0,2025-01-24
STK5094,SHOP3074,MOD2060,9.0,2021-09-20
STK5095,SHOP3082,MOD2023,16.0,2019-07-06
STK5096,SHOP3069,MOD2174,17.0,2020-09-20
STK5097,SHOP3037,MOD2021,40.0,2023-06-23
STK5098,SHOP3083,MOD2016,,2022-10-22
STK5099,SHOP3005,MOD2191,13.0,2022-04-14
STK5100,SHOP3055,MOD2032,34.0,2019-07-10
STK5101,SHOP3083,MOD2198,12.0,2022-06-11
STK5102,SHOP3036,MOD2155,30.0,2024-08-11
STK5103,SHOP3045,MOD2137,14.0,2020-03-31
STK5104,SHOP3057,MOD2008,20.0,2020-01-23
STK5105,SHOP3055,MOD2054,23.0,2021-12-25
STK5106,SHOP3069,MOD2085,3.0,2023-08-23
STK5107,SHOP3095,MOD2194,31.0,2021-06-06
STK5108,SHOP3034,MOD2052,22.0,2022-05-22
STK5109,SHOP3044,MOD2094,5.0,2022-06-10
STK5110,SHOP3075,MOD2059,12.0,2020-10-14
STK5111,SHOP3025,MOD2034,8.0,2021-11-25
STK5112,SHOP3051,MOD2092,17.0,2024-11-05
STK5113,SHOP3020,MOD2131,0.0,2020-06-09
STK5114,SHOP3090,MOD2076,23.0,2021-02-22
STK5115,SHOP3099,MOD2184,6.0,2021-07-22
STK5116,SHOP3055,MOD2097,18.0,2022-04-12
STK5117,SHOP3034,MOD2123,3.0,2023-02-06
STK5118,SHOP3039,MOD2090,23.0,2025-01-23
STK5119,SHOP3034,MOD2099,23.0,2022-07-08
STK5120,SHOP3075,MOD2061,27.0,2019-05-17
STK5121,SHOP3076,MOD2031,18.0,2021-09-24
STK5122,SHOP3095,MOD2019,15.0,2020-04-15
STK5123,SHOP3054,MOD2066,8.0,2024-05-29
STK5124,SHOP3083,MOD2002,,2020-05-13
STK5125,SHOP3030,MOD2005,9.0,2019-04-07
STK5126,SHOP3090,MOD2103,15.0,2021-02-15
STK5127,SHOP3027,MOD2145,5.0,2023-08-06
STK5128,SHOP3024,MOD2034,21.0,2024-05-24
STK5129,SHOP3055,MOD2185,27.0,2022-06-09
STK5130,SHOP3036,MOD2169,28.0,2023-12-05
STK5131,SHOP3086,MOD2004,10.0,2020-03-29
STK5132,SHOP3013,MOD2183,14.0,2021-05-10
STK5133,SHOP3045,MOD2191,35.0,2024-12-04
STK5134,SHOP3031,MOD2037,4.0,2022-05-30
STK5135,SHOP3067,MOD2181,21.0,2023-02-22
STK5136,SHOP3081,MOD2129,8.0,2019-06-24
STK5137,SHOP3029,MOD2123,7.0,2025-06-03
STK5138,SHOP3042,MOD2105,16.0,2022-03-16
STK5139,SHOP3072,MOD2065,33.0,2025-01-15
STK5140,SHOP3001,MOD2095,42.0,2021-12-04
STK5141,SHOP3028,MOD2002,28.0,2024-06-27
STK5142,SHOP3001,MOD2118,11.0,2020-11-16
STK5143,SHOP3034,MOD2032,20.0,2020-06-10
STK5144,SHOP3053,MOD2110,14.0,2024-12-08
STK5145,SHOP3078,MOD2164,8.0,2022-09-21
STK5146,SHOP3041,MOD2050,3.0,2019-05-27
STK5147,SHOP3007,MOD2001,27.0,2022-05-07
STK5148,SHOP3038,MOD2096,27.0,2019-08-25
STK5149,SHOP3045,MOD2104,15.0,2022-01-25
STK5150,SHOP3085,MOD2190,20.0,2024-10-13
STK5151,SHOP3041,MOD2058,19.0,2024-12-14
STK5152,SHOP3007,MOD2106,10.0,2022-06-07
STK5153,SHOP3061,MOD2163,5.0,2024-04-12
STK5154,SHOP3079,MOD2055,2.0,2020-03-06
STK5155,SHOP3014,MOD2108,36.0,2020-08-21
STK5156,SHOP3032,MOD2147,8.0,2024-12-15
STK5157,SHOP3007,MOD2093,17.0,2023-04-01
STK5158,SHOP3094,MOD2098,31.0,2024-12-15
STK5159,SHOP3019,MOD2161,14.0,2020-01-06
STK5160,SHOP3012,MOD2073,39.0,2024-06-24
STK5161,SHOP3044,MOD2017,19.0,2022-06-04
STK5162,SHOP3008,MOD2081,19.0,2024-04-23
STK5163,SHOP3056,MOD2083,2.0,2021-06-20
STK5164,SHOP3020,MOD2048,17.0,2021-06-04
STK5165,SHOP3018,MOD2000,28.0,2023-07-25
STK5166,SHOP3083,MOD2126,24.0,2019-12-17
STK5167,SHOP3041,MOD2179,23.0,2019-03-20
STK5168,SHOP3024,MOD2182,19.0,2022-12-01
STK5169,SHOP3041,MOD2161,39.0,2024-11-10
STK5170,SHOP3045,MOD2101,21.0,2019-06-04
STK5171,SHOP3045,MOD2006,30.0,2023-02-15
STK5172,SHOP3063,MOD2134,6.0,2021-02-14
STK5173,SHOP3081,MOD2183,3.0,2020-11-11
STK5174,SHOP3009,MOD2150,31.0,2019-09-09
STK5175,SHOP3029,MOD2101,19.0,2020-08-27
STK5176,SHOP3050,MOD2151,25.0,2024-04-03
STK5177,SHOP3051,MOD2094,26.0,2025-02-01
STK5178,SHOP3061,MOD2153,3.0,2024-06-04
STK5179,SHOP3006,MOD2131,5.0,2021-12-18
STK5180,SHOP3042,MOD2130,17.0,2025-07-24
STK5181,SHOP3001,MOD2151,30.0,2021-05-17
STK5182,SHOP3006,MOD2005,26.0,2020-02-18
STK5183,SHOP3066,MOD2093,32.0,2021-05-10
STK5184,SHOP3093,MOD2127,15.0,2024-07-24
STK5185,SHOP3047,MOD2126,,2020-05-29
STK5186,SHOP3057,MOD2095,10.0,2020-09-06
STK5187,SHOP3015,MOD2069,21.0,2021-05-12
STK5188,SHOP3015,MOD2068,17.0,2021-08-04
STK5189,SHOP3074,MOD2151,9.0,2022-04-29
STK5190,SHOP3020,MOD2058,26.0,2022-04-12
STK5191,SHOP3047,MOD2045,13.0,2023-04-20
STK5192,SHOP3076,MOD2184,12.0,2020-06-08
STK5193,SHOP3058,MOD2071,15.0,2019-08-30
STK5194,SHOP3063,MOD2101,3.0,2019-08-03
STK5195,SHOP3077,MOD2008,30.0,2019-12-14
STK5196,SHOP3058,MOD2048,16.0,2019-02-23
STK5197,SHOP3001,MOD2126,22.0,2020-05-31
STK5198,SHOP3081,MOD2119,0.0,2025-08-05
STK5199,SHOP3047,MOD2058,,2022-05-03
STK5200,SHOP3056,MOD2028,32.0,2022-04-06
STK5201,SHOP3071,MOD2094,23.0,2022-02-03
STK5202,SHOP3066,MOD2125,25.0,2023-06-16
STK5203,SHOP3000,MOD2074,14.0,2021-12-02
STK5204,SHOP3035,MOD2181,16.0,2019-07-22
STK5205,SHOP3016,MOD2036,22.0,2022-05-02
STK5206,SHOP3021,MOD2071,41.0,2023-06-30
STK5207,SHOP3045,MOD2052,10.0,2021-06-25
STK5208,SHOP3015,MOD2071,14.0,2022-02-03
STK5209,SHOP3031,MOD2042,41.0,2023-11-15
STK5210,SHOP3047,MOD2187,19.0,2025-03-04
STK5211,SHOP3036,MOD2134,4.0,2023-05-02
STK5212,SHOP3038,MOD2006,24.0,2019-02-10
STK5213,SHOP3049,MOD2164,7.0,2022-05-29
STK5214,SHOP3007,MOD2077,22.0,2025-02-27
STK5215,SHOP3036,MOD2170,16.0,2021-08-20
STK5216,SHOP3063,MOD2071,,2025-01-23
STK5217,SHOP3051,MOD2188,26.0,2024-08-18
STK5218,SHOP3060,MOD2000,27.0,2020-08-30
STK5219,SHOP3052,MOD2117,15.0,2021-11-16
STK5220,SHOP3035,MOD2175,20.0,2024-06-29
STK5221,SHOP3097,MOD2056,11.0,2019-05-18
STK5222,SHOP3073,MOD2162,20.0,2024-08-13
STK5223,SHOP3062,MOD2007,10.0,2021-11-19
STK5224,SHOP3067,MOD2034,12.0,2019-03-14
STK5225,SHOP3082,MOD2185,7.0,2022-08-07
STK5226,SHOP3023,MOD2135,20.0,2022-10-28
STK5227,SHOP3064,MOD2006,14.0,2023-11-30
STK5228,SHOP3022,MOD2070,21.0,2020-01-29
STK5229,SHOP3061,MOD2041,26.0,2024-07-10
STK5230,SHOP3073,MOD2189,18.0,2023-01-20
STK5231,SHOP3047,MOD2011,6.0,2025-05-05
STK5232,SHOP3041,MOD2179,24.0,2022-11-16
STK5233,SHOP3079,MOD2153,25.0,2024-05-02
STK5234,SHOP3044,MOD2078,34.0,2021-03-09
STK5235,SHOP3088,MOD2132,26.0,2019-03-16
STK5236,SHOP3017,MOD2050,27.0,2023-02-16
STK5237,SHOP3036,MOD2177,7.0,2025-05-17
STK5238,SHOP3059,MOD2128,11.0,2024-06-03
STK5239,SHOP3066,MOD2071,14.0,2019-12-21
STK5240,SHOP3090,MOD2062,19.0,2021-09-06
STK5241,SHOP3010,MOD2011,18.0,2023-09-05
STK5242,SHOP3094,MOD2124,7.0,2022-10-10
STK5243,SHOP3056,MOD2007,22.0,2020-11-14
STK5244,SHOP3072,MOD2100,28.0,2024-10-10
STK5245,SHOP3064,MOD2168,27.0,2020-09-15
STK5246,SHOP3017,MOD2014,10.0,2024-06-17
STK5247,SHOP3091,MOD2007,29.0,2021-08-10
STK5248,SHOP3004,MOD2055,30.0,2019-02-26
STK5249,SHOP3031,MOD2165,0.0,2025-03-02
STK5250,SHOP3076,MOD2163,16.0,2024-10-10
STK5251,SHOP3006,MOD2189,24.0,2023-01-26
STK5252,SHOP3098,MOD2080,16.0,2023-12-17
STK5253,SHOP3060,MOD2095,13.0,2022-11-24
STK5254,SHOP3061,MOD2018,8.0,2020-06-10
STK5255,SHOP3081,MOD2051,21.0,2023-06-06
STK5256,SHOP3071,MOD2002,22.0,2024-04-16
STK5257,SHOP3006,MOD2177,34.0,2020-07-19
STK5258,SHOP3067,MOD2044,13.0,2024-01-07
STK5259,SHOP3058,MOD2181,9.0,2023-09-13
STK5260,SHOP3068,MOD2131,29.0,2022-03-20
STK5261,SHOP3044,MOD2138,18.0,2023-01-23
STK5262,SHOP3003,MOD2139,19.0,2024-03-25
STK5263,SHOP3057,MOD2030,15.0,2019-08-25
STK5264,SHOP3077,MOD2192,23.0,2022-09-23
STK5265,SHOP3046,MOD2199,5.0,2024-12-17
STK5266,SHOP3036,MOD2088,30.0,2025-07-14
STK5267,SHOP3052,MOD2163,30.0,2020-01-26
STK5268,SHOP3026,MOD2122,20.0,2021-07-08
STK5269,SHOP3057,MOD2100,29.0,2024-11-28
STK5270,SHOP3081,MOD2088,,2022-07-12
STK5271,SHOP3002,MOD2025,15.0,2019-03-05
STK5272,SHOP3043,MOD2023,5.0,2019-08-13
STK5273,SHOP3034,MOD2189,20.0,2019-12-20
STK5274,SHOP3073,MOD2150,40.0,2022-01-25
STK5275,SHOP3080,MOD2128,,2022-08-17
STK5276,SHOP3044,MOD2051,10.0,2023-05-21
STK5277,SHOP3086,MOD2182,26.0,2020-11-13
STK5278,SHOP3088,MOD2179,7.0,2022-11-28
STK5279,SHOP3066,MOD2181,33.0,2024-11-15
STK5280,SHOP3007,MOD2065,12.0,2020-02-08
STK5281,SHOP3016,MOD2067,11.0,2024-04-10
STK5282,SHOP3067,MOD2124,32.0,2019-03-23
STK5283,SHOP3062,MOD2182,21.0,2021-11-15
STK5284,SHOP3020,MOD2092,16.0,2020-12-02
STK5285,SHOP3094,MOD2167,16.0,2022-03-25
STK5286,SHOP3057,MOD2135,21.0,2023-10-08
STK5287,SHOP3021,MOD2172,27.0,2021-11-09
STK5288,SHOP3098,MOD2095,10.0,2020-11-05
STK5289,SHOP3034,MOD2196,13.0,2025-03-18
STK5290,SHOP3017,MOD2094,13.0,2022-10-23
STK5291,SHOP3014,MOD2029,,2020-04-24
STK5292,SHOP3083,MOD2095,38.0,2025-03-14
STK5293,SHOP3065,MOD2101,15.0,2020-07-27
STK5294,SHOP3022,MOD2058,,2020-07-17
STK5295,SHOP3049,MOD2122,16.0,2021-01-04
STK5296,SHOP3071,MOD2114,32.0,2024-05-19
STK5297,SHOP3064,MOD2003,19.0,2020-12-06
STK5298,SHOP3098,MOD2027,6.0,2024-07-05
STK5299,SHOP3070,MOD2172,16.0,2023-10-16
STK5300,SHOP3059,MOD2056,,2022-07-15
STK5301,SHOP3072,MOD2108,23.0,2019-12-30
STK5302,SHOP3079,MOD2083,25.0,2023-01-07
STK5303,SHOP3015,MOD2175,17.0,2023-07-08
STK5304,SHOP3008,MOD2042,14.0,2023-02-14
STK5305,SHOP3071,MOD2047,25.0,2021-09-19
STK5306,SHOP3050,MOD2141,4.0,2024-04-03
STK5307,SHOP3082,MOD2004,46.0,2021-04-05
STK5308,SHOP3064,MOD2171,30.0,2025-08-22
STK5309,SHOP3098,MOD2026,25.0,2022-02-17
STK5310,SHOP3093,MOD2053,30.0,2024-05-18
STK5311,SHOP3013,MOD2140,12.0,2023-02-04
STK5312,SHOP3092,MOD2048,33.0,2019-08-11
STK5313,SHOP3059,MOD2109,20.0,2025-03-10
STK5314,SHOP3010,MOD2074,,2020-03-21
STK5315,SHOP3055,MOD2166,13.0,2024-09-13
STK5316,SHOP3066,MOD2009,11.0,2021-11-19
STK5317,SHOP3091,MOD2061,24.0,2020-04-18
STK5318,SHOP3074,MOD2018,14.0,2025-07-23
STK5319,SHOP3060,MOD2190,1.0,2024-07-27
STK5320,SHOP3068,MOD2086,11.0,2020-12-16
STK5321,SHOP3024,MOD2111,14.0,2024-11-13
STK5322,SHOP3075,MOD2043,1.0,2021-11-04
STK5323,SHOP3029,MOD2159,6.0,2021-11-08
STK5324,SHOP3013,MOD2036,19.0,2023-05-12
STK5325,SHOP3051,MOD2048,24.0,2022-09-17
STK5326,SHOP3073,MOD2122,28.0,2024-06-23
STK5327,SHOP3088,MOD2186,22.0,2021-01-05
STK5328,SHOP3077,MOD2095,9.0,2020-05-24
STK5329,SHOP3055,MOD2168,11.0,2023-08-07
STK5330,SHOP3005,MOD2013,22.0,2024-08-24
STK5331,SHOP3003,MOD2183,34.0,2020-03-08
STK5332,SHOP3009,MOD2182,14.0,2020-02-27
STK5333,SHOP3001,MOD2037,32.0,2025-06-07
STK5334,SHOP3061,MOD2188,21.0,2022-06-14
STK5335,SHOP3088,MOD2038,24.0,2024-12-15
STK5336,SHOP3021,MOD2135,24.0,2021-05-28
STK5337,SHOP3049,MOD2024,28.0,2024-01-17
STK5338,SHOP3041,MOD2109,13.0,2021-01-13
STK5339,SHOP3007,MOD2072,24.0,2019-01-06
STK5340,SHOP3052,MOD2039,26.0,2022-02-19
STK5341,SHOP3094,MOD2033,,2019-07-12
STK5342,SHOP3065,MOD2030,7.0,2023-03-31
STK5343,SHOP3072,MOD2163,22.0,2022-08-16
STK5344,SHOP3057,MOD2095,29.0,2020-01-19
STK5345,SHOP3047,MOD2139,14.0,2025-05-15
STK5346,SHOP3087,MOD2019,12.0,2024-04-07
STK5347,SHOP3047,MOD2025,10.0,2022-08-15
STK5348,SHOP3066,MOD2112,44.0,2023-02-04
STK5349,SHOP3057,MOD2157,27.0,2025-03-18
STK5350,SHOP3065,MOD2062,15.0,2020-03-23
STK5351,SHOP3093,MOD2096,35.0,2023-09-28
STK5352,SHOP3093,MOD2059,16.0,2023-09-27
STK5353,SHOP3084,MOD2090,20.0,2022-06-14
STK5354,SHOP3037,MOD2045,21.0,2022-02-20
STK5355,SHOP3036,MOD2043,13.0,2020-09-09
STK5356,SHOP3038,MOD2192,27.0,2022-09-25
STK5357,SHOP3006,MOD2108,30.0,2024-01-18
STK5358,SHOP3086,MOD2023,9.0,2024-10-24
STK5359,SHOP3036,MOD2124,7.0,2019-11-02
STK5360,SHOP3085,MOD2073,19.0,2020-04-26
STK5361,SHOP3045,MOD2051,26.0,2019-02-04
STK5362,SHOP3067,MOD2072,43.0,2023-11-10
STK5363,SHOP3088,MOD2175,23.0,2019-06-13
STK5364,SHOP3076,MOD2048,3.0,2019-06-06
STK5365,SHOP3004,MOD2193,9.0,2021-09-13
STK5366,SHOP3071,MOD2100,19.0,2020-04-01
STK5367,SHOP3087,MOD2024,51.0,2020-08-16
STK5368,SHOP3026,MOD2121,19.0,2021-09-30
STK5369,SHOP3073,MOD2091,11.0,2022-05-01
STK5370,SHOP3024,MOD2012,8.0,2019-01-18
STK5371,SHOP3049,MOD2170,39.0,2023-04-09
STK5372,SHOP3077,MOD2179,22.0,2022-03-04
STK5373,SHOP3020,MOD2025,26.0,2019-05-13
STK5374,SHOP3015,MOD2141,12.0,2020-07-31
STK5375,SHOP3010,MOD2195,15.0,2024-06-16
STK5376,SHOP3038,MOD2108,18.0,2025-01-16
STK5377,SHOP3052,MOD2078,19.0,2020-01-14
STK5378,SHOP3052,MOD2056,6.0,2020-07-26
STK5379,SHOP3046,MOD2126,,2022-06-05
STK5380,SHOP3058,MOD2153,14.0,2022-08-18
STK5381,SHOP3081,MOD2190,8.0,2021-07-17
STK5382,SHOP3087,MOD2117,19.0,2023-04-25
STK5383,SHOP3000,MOD2165,30.0,2020-01-29
STK5384,SHOP3076,MOD2043,17.0,2020-03-12
STK5385,SHOP3027,MOD2141,24.0,2021-07-11
STK5386,SHOP3046,MOD2098,26.0,2019-12-31
STK5387,SHOP3094,MOD2054,42.0,2020-05-23
STK5388,SHOP3073,MOD2039,15.0,2021-08-11
STK5389,SHOP3001,MOD2021,11.0,2024-04-08
STK5390,SHOP3051,MOD2185,8.0,2019-12-24
STK5391,SHOP3057,MOD2114,2.0,2020-05-31
STK5392,SHOP3083,MOD2136,26.0,2023-10-12
STK5393,SHOP3096,MOD2070,14.0,2025-05-18
STK5394,SHOP3096,MOD2082,23.0,2025-04-12
STK5395,SHOP3082,MOD2128,19.0,2025-03-04
STK5396,SHOP3091,MOD2089,34.0,2022-06-04
STK5397,SHOP3016,MOD2004,32.0,2020-08-30
STK5398,SHOP3066,MOD2133,1.0,2023-02-26
STK5399,SHOP3029,MOD2045,35.0,2024-02-10
STK5400,SHOP3019,MOD2075,10.0,2019-02-07
STK5401,SHOP3061,MOD2127,11.0,2022-07-18
STK5402,SHOP3022,MOD2114,23.0,2019-07-02
STK5403,SHOP3016,MOD2153,31.0,2022-06-04
STK5404,SHOP3023,MOD2015,30.0,2023-06-13
STK5405,SHOP3055,MOD2028,18.0,2022-01-30
STK5406,SHOP3088,MOD2144,34.0,2021-06-25
STK5407,SHOP3037,MOD2196,22.0,2020-08-26
STK5408,SHOP3089,MOD2151,11.0,2023-11-12
STK5409,SHOP3060,MOD2173,37.0,2019-01-06
STK5410,SHOP3071,MOD2059,2.0,2024-11-11
STK5411,SHOP3032,MOD2139,14.0,2019-07-31
STK5412,SHOP3084,MOD2163,1.0,2023-10-18
STK5413,SHOP3034,MOD2029,27.0,2025-02-19
STK5414,SHOP3032,MOD2022,14.0,2019-06-06
STK5415,SHOP3002,MOD2187,31.0,2021-12-16
STK5416,SHOP3043,MOD2047,11.0,2023-09-05
STK5417,SHOP3091,MOD2170,26.0,2025-08-20
STK5418,SHOP3042,MOD2142,30.0,2024-01-01
STK5419,SHOP3026,MOD2159,26.0,2025-04-17
STK5420,SHOP3029,MOD2089,37.0,2019-07-26
STK5421,SHOP3000,MOD2078,,2024-07-31
STK5422,SHOP3057,MOD2022,21.0,2021-01-10
STK5423,SHOP3048,MOD2156,31.0,2019-10-24
STK5424,SHOP3058,MOD2057,24.0,2024-07-01
STK5425,SHOP3016,MOD2110,22.0,2023-09-30
STK5426,SHOP3040,MOD2145,20.0,2023-01-31
STK5427,SHOP3050,MOD2097,29.0,2019-04-19
STK5428,SHOP3035,MOD2014,19.0,2022-10-14
STK5429,SHOP3063,MOD2154,15.0,2021-05-31
STK5430,SHOP3044,MOD2022,18.0,2021-02-03
STK5431,SHOP3064,MOD2106,41.0,2021-01-11
STK5432,SHOP3003,MOD2130,25.0,2021-07-31
STK5433,SHOP3097,MOD2106,21.0,2020-12-15
STK5434,SHOP3015,MOD2146,24.0,2021-03-29
STK5435,SHOP3019,MOD2128,24.0,2020-03-13
STK5436,SHOP3055,MOD2018,5.0,2021-05-19
STK5437,SHOP3013,MOD2188,19.0,2019-02-11
STK5438,SHOP3099,MOD2117,18.0,2019-08-06
STK5439,SHOP3006,MOD2091,10.0,2025-02-10
STK5440,SHOP3013,MOD2186,11.0,2020-05-05
STK5441,SHOP3088,MOD2152,18.0,2024-08-27
STK5442,SHOP3084,MOD2013,12.0,2020-11-23
STK5443,SHOP3016,MOD2106,15.0,2020-05-26
STK5444,SHOP3021,MOD2101,14.0,2021-04-14
STK5445,SHOP3004,MOD2140,11.0,2020-10-16
STK5446,SHOP3002,MOD2123,23.0,2022-01-12
STK5447,SHOP3052,MOD2100,28.0,2020-02-22
STK5448,SHOP3086,MOD2118,27.0,2023-05-30
STK5449,SHOP3081,MOD2061,17.0,2024-05-07
STK5450,SHOP3079,MOD2063,12.0,2022-07-26
STK5451,SHOP3014,MOD2089,12.0,2023-01-30
STK5452,SHOP3089,MOD2025,36.0,2023-10-17
STK5453,SHOP3093,MOD2185,16.0,2022-04-23
STK5454,SHOP3096,MOD2007,12.0,2021-04-15
STK5455,SHOP3065,MOD2137,26.0,2022-04-25
STK5456,SHOP3032,MOD2065,31.0,2025-02-03
STK5457,SHOP3072,MOD2112,23.0,2021-12-29
STK5458,SHOP3004,MOD2138,5.0,2019-07-28
STK5459,SHOP3032,MOD2166,12.0,2021-10-29
STK5460,SHOP3099,MOD2001,18.0,2022-08-13
STK5461,SHOP3085,MOD2178,26.0,2021-09-29
STK5462,SHOP3039,MOD2199,35.0,2021-06-08
STK5463,SHOP3091,MOD2037,17.0,2025-02-14
STK5464,SHOP3073,MOD2022,15.0,2021-09-19
STK5465,SHOP3092,MOD2107,26.0,2024-09-11
STK5466,SHOP3017,MOD2025,24.0,2024-05-23
STK5467,SHOP3046,MOD2186,30.0,2024-06-28
STK5468,SHOP3054,MOD2125,5.0,2023-09-28
STK5469,SHOP3004,MOD2106,12.0,2024-04-07
STK5470,SHOP3048,MOD2104,23.0,2019-12-15
STK5471,SHOP3001,MOD2024,29.0,2019-12-22
STK5472,SHOP3001,MOD2073,18.0,2021-05-07
STK5473,SHOP3073,MOD2063,19.0,2024-09-09
STK5474,SHOP3058,MOD2147,31.0,2024-05-10
STK5475,SHOP3083,MOD2121,22.0,2025-04-17
STK5476,SHOP3037,MOD2182,23.0,2023-10-08
STK5477,SHOP3022,MOD2031,17.0,2023-06-19
STK5478,SHOP3089,MOD2170,8.0,2021-03-31
STK5479,SHOP3054,MOD2162,28.0,2023-12-07
STK5480,SHOP3060,MOD2136,16.0,2020-12-05
STK5481,SHOP3084,MOD2116,13.0,2021-08-17
STK5482,SHOP3010,MOD2159,30.0,2019-10-27
